home,score,away,Tournament
Hungary ,2–0, Finland,2018–19_UEFA_Nations_League_C
Greece ,0–1, Estonia,2018–19_UEFA_Nations_League_C
Slovenia ,1–2, Bulgaria,2018–19_UEFA_Nations_League_C
Norway ,2–0, Cyprus,2018–19_UEFA_Nations_League_C
Bulgaria ,1–0, Norway,2018–19_UEFA_Nations_League_C
Cyprus ,2–1, Slovenia,2018–19_UEFA_Nations_League_C
Norway ,1–0, Slovenia,2018–19_UEFA_Nations_League_C
Bulgaria ,2–1, Cyprus,2018–19_UEFA_Nations_League_C
Norway ,1–0, Bulgaria,2018–19_UEFA_Nations_League_C
Slovenia ,1–1, Cyprus,2018–19_UEFA_Nations_League_C
Cyprus ,1–1, Bulgaria,2018–19_UEFA_Nations_League_C
Slovenia ,1–1, Norway,2018–19_UEFA_Nations_League_C
Bulgaria ,1–1, Slovenia,2018–19_UEFA_Nations_League_C
Cyprus ,0–2, Norway,2018–19_UEFA_Nations_League_C
Lithuania ,0–1, Serbia,2018–19_UEFA_Nations_League_C
Romania ,0–0, Montenegro,2018–19_UEFA_Nations_League_C
Serbia ,2–2, Romania,2018–19_UEFA_Nations_League_C
Montenegro ,2–0, Lithuania,2018–19_UEFA_Nations_League_C
Lithuania ,1–2, Romania,2018–19_UEFA_Nations_League_C
Montenegro ,0–2, Serbia,2018–19_UEFA_Nations_League_C
Romania ,0–0, Serbia,2018–19_UEFA_Nations_League_C
Lithuania ,1–4, Montenegro,2018–19_UEFA_Nations_League_C
Serbia ,2–1, Montenegro,2018–19_UEFA_Nations_League_C
Romania ,3–0, Lithuania,2018–19_UEFA_Nations_League_C
Serbia ,4–1, Lithuania,2018–19_UEFA_Nations_League_C
Montenegro ,0–1, Romania,2018–19_UEFA_Nations_League_C
Italy ,1–1, Bosnia and Herzegovina,2020–21_UEFA_Nations_League_A
Netherlands ,1–0, Poland,2020–21_UEFA_Nations_League_A
Bosnia and Herzegovina ,1–2, Poland,2020–21_UEFA_Nations_League_A
Netherlands ,0–1, Italy,2020–21_UEFA_Nations_League_A
Bosnia and Herzegovina ,0–0, Netherlands,2020–21_UEFA_Nations_League_A
Poland ,0–0, Italy,2020–21_UEFA_Nations_League_A
Italy ,1–1, Netherlands,2020–21_UEFA_Nations_League_A
Poland ,3–0, Bosnia and Herzegovina,2020–21_UEFA_Nations_League_A
Netherlands ,3–1, Bosnia and Herzegovina,2020–21_UEFA_Nations_League_A
Italy ,2–0, Poland,2020–21_UEFA_Nations_League_A
Bosnia and Herzegovina ,0–2, Italy,2020–21_UEFA_Nations_League_A
Poland ,1–2, Netherlands,2020–21_UEFA_Nations_League_A
Iceland ,0–1, England,2020–21_UEFA_Nations_League_A
Denmark ,0–2, Belgium,2020–21_UEFA_Nations_League_A
Belgium ,5–1, Iceland,2020–21_UEFA_Nations_League_A
Denmark ,0–0, England,2020–21_UEFA_Nations_League_A
England ,2–1, Belgium,2020–21_UEFA_Nations_League_A
Iceland ,0–3, Denmark,2020–21_UEFA_Nations_League_A
England ,0–1, Denmark,2020–21_UEFA_Nations_League_A
Iceland ,1–2, Belgium,2020–21_UEFA_Nations_League_A
Belgium ,2–0, England,2020–21_UEFA_Nations_League_A
Denmark ,2–1, Iceland,2020–21_UEFA_Nations_League_A
Belgium ,4–2, Denmark,2020–21_UEFA_Nations_League_A
England ,4–0, Iceland,2020–21_UEFA_Nations_League_A
Portugal ,4–1, Croatia,2020–21_UEFA_Nations_League_A
Sweden ,0–1, France,2020–21_UEFA_Nations_League_A
France ,4–2, Croatia,2020–21_UEFA_Nations_League_A
Sweden ,0–2, Portugal,2020–21_UEFA_Nations_League_A
Croatia ,2–1, Sweden,2020–21_UEFA_Nations_League_A
France ,0–0, Portugal,2020–21_UEFA_Nations_League_A
Croatia ,1–2, France,2020–21_UEFA_Nations_League_A
Portugal ,3–0, Sweden,2020–21_UEFA_Nations_League_A
Portugal ,0–1, France,2020–21_UEFA_Nations_League_A
Sweden ,2–1, Croatia,2020–21_UEFA_Nations_League_A
Croatia ,2–3, Portugal,2020–21_UEFA_Nations_League_A
France ,4–2, Sweden,2020–21_UEFA_Nations_League_A
Germany ,1–1, Spain,2020–21_UEFA_Nations_League_A
Ukraine ,2–1,  Switzerland,2020–21_UEFA_Nations_League_A
Spain ,4–0, Ukraine,2020–21_UEFA_Nations_League_A
Switzerland ,1–1, Germany,2020–21_UEFA_Nations_League_A
Spain ,1–0,  Switzerland,2020–21_UEFA_Nations_League_A
Ukraine ,1–2, Germany,2020–21_UEFA_Nations_League_A
Germany ,3–3,  Switzerland,2020–21_UEFA_Nations_League_A
Ukraine ,1–0, Spain,2020–21_UEFA_Nations_League_A
Germany ,3–1, Ukraine,2020–21_UEFA_Nations_League_A
Switzerland ,1–1, Spain,2020–21_UEFA_Nations_League_A
Spain ,6–0, Germany,2020–21_UEFA_Nations_League_A
Switzerland ,3–0Awarded[note 4], Ukraine,2020–21_UEFA_Nations_League_A
Italy ,1–2, Spain,2020–21_UEFA_Nations_League_A
Belgium ,2–3, France,2020–21_UEFA_Nations_League_A
Italy ,2–1, Belgium,2020–21_UEFA_Nations_League_A
Spain ,1–2, France,2020–21_UEFA_Nations_League_A
Norway ,1–2, Austria,2020–21_UEFA_Nations_League_B
Romania ,1–1, Northern Ireland,2020–21_UEFA_Nations_League_B
Austria ,2–3, Romania,2020–21_UEFA_Nations_League_B
Northern Ireland ,1–5, Norway,2020–21_UEFA_Nations_League_B
Norway ,4–0, Romania,2020–21_UEFA_Nations_League_B
Northern Ireland ,0–1, Austria,2020–21_UEFA_Nations_League_B
Norway ,1–0, Northern Ireland,2020–21_UEFA_Nations_League_B
Romania ,0–1, Austria,2020–21_UEFA_Nations_League_B
Austria ,2–1, Northern Ireland,2020–21_UEFA_Nations_League_B
Romania ,3–0Awarded[note 4], Norway,2020–21_UEFA_Nations_League_B
Austria ,1–1, Norway,2020–21_UEFA_Nations_League_B
Northern Ireland ,1–1, Romania,2020–21_UEFA_Nations_League_B
Scotland ,1–1, Israel,2020–21_UEFA_Nations_League_B
Slovakia ,1–3, Czech Republic,2020–21_UEFA_Nations_League_B
Czech Republic ,1–2, Scotland,2020–21_UEFA_Nations_League_B
Israel ,1–1, Slovakia,2020–21_UEFA_Nations_League_B
Israel ,1–2, Czech Republic,2020–21_UEFA_Nations_League_B
Scotland ,1–0, Slovakia,2020–21_UEFA_Nations_League_B
Scotland ,1–0, Czech Republic,2020–21_UEFA_Nations_League_B
Slovakia ,2–3, Israel,2020–21_UEFA_Nations_League_B
Slovakia ,1–0, Scotland,2020–21_UEFA_Nations_League_B
Czech Republic ,1–0, Israel,2020–21_UEFA_Nations_League_B
Czech Republic ,2–0, Slovakia,2020–21_UEFA_Nations_League_B
Israel ,1–0, Scotland,2020–21_UEFA_Nations_League_B
Russia ,3–1, Serbia,2020–21_UEFA_Nations_League_B
Turkey ,0–1, Hungary,2020–21_UEFA_Nations_League_B
Hungary ,2–3, Russia,2020–21_UEFA_Nations_League_B
Serbia ,0–0, Turkey,2020–21_UEFA_Nations_League_B
Russia ,1–1, Turkey,2020–21_UEFA_Nations_League_B
Serbia ,0–1, Hungary,2020–21_UEFA_Nations_League_B
Russia ,0–0, Hungary,2020–21_UEFA_Nations_League_B
Turkey ,2–2, Serbia,2020–21_UEFA_Nations_League_B
Turkey ,3–2, Russia,2020–21_UEFA_Nations_League_B
Hungary ,1–1, Serbia,2020–21_UEFA_Nations_League_B
Hungary ,2–0, Turkey,2020–21_UEFA_Nations_League_B
Serbia ,5–0, Russia,2020–21_UEFA_Nations_League_B
Bulgaria ,1–1, Republic of Ireland,2020–21_UEFA_Nations_League_B
Finland ,0–1, Wales,2020–21_UEFA_Nations_League_B
Wales ,1–0, Bulgaria,2020–21_UEFA_Nations_League_B
Republic of Ireland ,0–1, Finland,2020–21_UEFA_Nations_League_B
Republic of Ireland ,0–0, Wales,2020–21_UEFA_Nations_League_B
Finland ,2–0, Bulgaria,2020–21_UEFA_Nations_League_B
Finland ,1–0, Republic of Ireland,2020–21_UEFA_Nations_League_B
Bulgaria ,0–1, Wales,2020–21_UEFA_Nations_League_B
Bulgaria ,1–2, Finland,2020–21_UEFA_Nations_League_B
Wales ,1–0, Republic of Ireland,2020–21_UEFA_Nations_League_B
Republic of Ireland ,0–0, Bulgaria,2020–21_UEFA_Nations_League_B
Wales ,3–1, Finland,2020–21_UEFA_Nations_League_B
Azerbaijan ,1–2, Luxembourg,2020–21_UEFA_Nations_League_C
Cyprus ,0–2, Montenegro,2020–21_UEFA_Nations_League_C
Cyprus ,0–1, Azerbaijan,2020–21_UEFA_Nations_League_C
Luxembourg ,0–1, Montenegro,2020–21_UEFA_Nations_League_C
Luxembourg ,2–0, Cyprus,2020–21_UEFA_Nations_League_C
Montenegro ,2–0, Azerbaijan,2020–21_UEFA_Nations_League_C
Azerbaijan ,0–0, Cyprus,2020–21_UEFA_Nations_League_C
Montenegro ,1–2, Luxembourg,2020–21_UEFA_Nations_League_C
Azerbaijan ,0–0, Montenegro,2020–21_UEFA_Nations_League_C
Cyprus ,2–1, Luxembourg,2020–21_UEFA_Nations_League_C
Luxembourg ,0–0, Azerbaijan,2020–21_UEFA_Nations_League_C
Montenegro ,4–0, Cyprus,2020–21_UEFA_Nations_League_C
North Macedonia ,2–1, Armenia,2020–21_UEFA_Nations_League_C
Estonia ,0–1, Georgia,2020–21_UEFA_Nations_League_C
Armenia ,2–0, Estonia,2020–21_UEFA_Nations_League_C
Georgia ,1–1, North Macedonia,2020–21_UEFA_Nations_League_C
Armenia ,2–2, Georgia,2020–21_UEFA_Nations_League_C
Estonia ,3–3, North Macedonia,2020–21_UEFA_Nations_League_C
Estonia ,1–1, Armenia,2020–21_UEFA_Nations_League_C
North Macedonia ,1–1, Georgia,2020–21_UEFA_Nations_League_C
North Macedonia ,2–1, Estonia,2020–21_UEFA_Nations_League_C
Georgia ,1–2, Armenia,2020–21_UEFA_Nations_League_C
Armenia ,1–0, North Macedonia,2020–21_UEFA_Nations_League_C
Georgia ,0–0, Estonia,2020–21_UEFA_Nations_League_C
Moldova ,1–1, Kosovo,2020–21_UEFA_Nations_League_C
Slovenia ,0–0, Greece,2020–21_UEFA_Nations_League_C
Slovenia ,1–0, Moldova,2020–21_UEFA_Nations_League_C
Kosovo ,1–2, Greece,2020–21_UEFA_Nations_League_C
Greece ,2–0, Moldova,2020–21_UEFA_Nations_League_C
Kosovo ,0–1, Slovenia,2020–21_UEFA_Nations_League_C
Greece ,0–0, Kosovo,2020–21_UEFA_Nations_League_C
Moldova ,0–4, Slovenia,2020–21_UEFA_Nations_League_C
Moldova ,0–2, Greece,2020–21_UEFA_Nations_League_C
Slovenia ,2–1, Kosovo,2020–21_UEFA_Nations_League_C
Greece ,0–0, Slovenia,2020–21_UEFA_Nations_League_C
Kosovo ,1–0, Moldova,2020–21_UEFA_Nations_League_C
Lithuania ,0–2, Kazakhstan,2020–21_UEFA_Nations_League_C
Belarus ,0–2, Albania,2020–21_UEFA_Nations_League_C
Kazakhstan ,1–2, Belarus,2020–21_UEFA_Nations_League_C
Albania ,0–1, Lithuania,2020–21_UEFA_Nations_League_C
Kazakhstan ,0–0, Albania,2020–21_UEFA_Nations_League_C
Lithuania ,2–2, Belarus,2020–21_UEFA_Nations_League_C
Lithuania ,0–0, Albania,2020–21_UEFA_Nations_League_C
Belarus ,2–0, Kazakhstan,2020–21_UEFA_Nations_League_C
Albania ,3–1, Kazakhstan,2020–21_UEFA_Nations_League_C
Belarus ,2–0, Lithuania,2020–21_UEFA_Nations_League_C
Albania ,3–2, Belarus,2020–21_UEFA_Nations_League_C
Kazakhstan ,1–2, Lithuania,2020–21_UEFA_Nations_League_C
Moldova ,1–2, Kazakhstan,2020–21_UEFA_Nations_League_C
Kazakhstan ,0–1 (a.e.t.), Moldova,2020–21_UEFA_Nations_League_C
Estonia ,0–0, Cyprus,2020–21_UEFA_Nations_League_C
Cyprus ,2–0, Estonia,2020–21_UEFA_Nations_League_C
Croatia ,0–3, Austria,2022–23_UEFA_Nations_League_A
France ,1–2, Denmark,2022–23_UEFA_Nations_League_A
Croatia ,1–1, France,2022–23_UEFA_Nations_League_A
Austria ,1–2, Denmark,2022–23_UEFA_Nations_League_A
Austria ,1–1, France,2022–23_UEFA_Nations_League_A
Denmark ,0–1, Croatia,2022–23_UEFA_Nations_League_A
Denmark ,2–0, Austria,2022–23_UEFA_Nations_League_A
France ,0–1, Croatia,2022–23_UEFA_Nations_League_A
Croatia ,2–1, Denmark,2022–23_UEFA_Nations_League_A
France ,2–0, Austria,2022–23_UEFA_Nations_League_A
Austria ,1–3, Croatia,2022–23_UEFA_Nations_League_A
Denmark ,2–0, France,2022–23_UEFA_Nations_League_A
Czech Republic ,2–1,  Switzerland,2022–23_UEFA_Nations_League_A
Spain ,1–1, Portugal,2022–23_UEFA_Nations_League_A
Czech Republic ,2–2, Spain,2022–23_UEFA_Nations_League_A
Portugal ,4–0,  Switzerland,2022–23_UEFA_Nations_League_A
Portugal ,2–0, Czech Republic,2022–23_UEFA_Nations_League_A
Switzerland ,0–1, Spain,2022–23_UEFA_Nations_League_A
Spain ,2–0, Czech Republic,2022–23_UEFA_Nations_League_A
Switzerland ,1–0, Portugal,2022–23_UEFA_Nations_League_A
Czech Republic ,0–4, Portugal,2022–23_UEFA_Nations_League_A
Spain ,1–2,  Switzerland,2022–23_UEFA_Nations_League_A
Portugal ,0–1, Spain,2022–23_UEFA_Nations_League_A
Switzerland ,2–1, Czech Republic,2022–23_UEFA_Nations_League_A
Hungary ,1–0, England,2022–23_UEFA_Nations_League_A
Italy ,1–1, Germany,2022–23_UEFA_Nations_League_A
Germany ,1–1, England,2022–23_UEFA_Nations_League_A
Italy ,2–1, Hungary,2022–23_UEFA_Nations_League_A
England ,0–0, Italy,2022–23_UEFA_Nations_League_A
Hungary ,1–1, Germany,2022–23_UEFA_Nations_League_A
England ,0–4, Hungary,2022–23_UEFA_Nations_League_A
Germany ,5–2, Italy,2022–23_UEFA_Nations_League_A
Germany ,0–1, Hungary,2022–23_UEFA_Nations_League_A
Italy ,1–0, England,2022–23_UEFA_Nations_League_A
England ,3–3, Germany,2022–23_UEFA_Nations_League_A
Hungary ,0–2, Italy,2022–23_UEFA_Nations_League_A
Poland ,2–1, Wales,2022–23_UEFA_Nations_League_A
Belgium ,1–4, Netherlands,2022–23_UEFA_Nations_League_A
Belgium ,6–1, Poland,2022–23_UEFA_Nations_League_A
Wales ,1–2, Netherlands,2022–23_UEFA_Nations_League_A
Netherlands ,2–2, Poland,2022–23_UEFA_Nations_League_A
Wales ,1–1, Belgium,2022–23_UEFA_Nations_League_A
Netherlands ,3–2, Wales,2022–23_UEFA_Nations_League_A
Poland ,0–1, Belgium,2022–23_UEFA_Nations_League_A
Belgium ,2–1, Wales,2022–23_UEFA_Nations_League_A
Poland ,0–2, Netherlands,2022–23_UEFA_Nations_League_A
Netherlands ,1–0, Belgium,2022–23_UEFA_Nations_League_A
Wales ,0–1, Poland,2022–23_UEFA_Nations_League_A
Netherlands ,2–4 (a.e.t.), Croatia,2022–23_UEFA_Nations_League_A
Spain ,2–1, Italy,2022–23_UEFA_Nations_League_A
Netherlands ,2–3, Italy,2022–23_UEFA_Nations_League_A
Croatia ,0–0 (a.e.t.), Spain,2022–23_UEFA_Nations_League_A
Armenia ,1–0, Republic of Ireland,2022–23_UEFA_Nations_League_B
Scotland ,2–0, Armenia,2022–23_UEFA_Nations_League_B
Republic of Ireland ,0–1, Ukraine,2022–23_UEFA_Nations_League_B
Ukraine ,3–0, Armenia,2022–23_UEFA_Nations_League_B
Republic of Ireland ,3–0, Scotland,2022–23_UEFA_Nations_League_B
Armenia ,1–4, Scotland,2022–23_UEFA_Nations_League_B
Ukraine ,1–1, Republic of Ireland,2022–23_UEFA_Nations_League_B
Scotland ,3–0, Ukraine,2022–23_UEFA_Nations_League_B
Armenia ,0–5, Ukraine,2022–23_UEFA_Nations_League_B
Scotland ,2–1, Republic of Ireland,2022–23_UEFA_Nations_League_B
Republic of Ireland ,3–2, Armenia,2022–23_UEFA_Nations_League_B
Ukraine ,0–0, Scotland,2022–23_UEFA_Nations_League_B
Albania ,Cancelled, Russia,2022–23_UEFA_Nations_League_B
Israel ,2–2, Iceland,2022–23_UEFA_Nations_League_B
Iceland ,1–1, Albania,2022–23_UEFA_Nations_League_B
Israel ,Cancelled, Russia,2022–23_UEFA_Nations_League_B
Albania ,1–2, Israel,2022–23_UEFA_Nations_League_B
Russia ,Cancelled, Iceland,2022–23_UEFA_Nations_League_B
Iceland ,2–2, Israel,2022–23_UEFA_Nations_League_B
Russia ,Cancelled, Albania,2022–23_UEFA_Nations_League_B
Iceland ,Cancelled, Russia,2022–23_UEFA_Nations_League_B
Israel ,2–1, Albania,2022–23_UEFA_Nations_League_B
Albania ,1–1, Iceland,2022–23_UEFA_Nations_League_B
Russia ,Cancelled, Israel,2022–23_UEFA_Nations_League_B
Finland ,1–1, Bosnia and Herzegovina,2022–23_UEFA_Nations_League_B
Montenegro ,2–0, Romania,2022–23_UEFA_Nations_League_B
Finland ,2–0, Montenegro,2022–23_UEFA_Nations_League_B
Bosnia and Herzegovina ,1–0, Romania,2022–23_UEFA_Nations_League_B
Montenegro ,1–1, Bosnia and Herzegovina,2022–23_UEFA_Nations_League_B
Romania ,1–0, Finland,2022–23_UEFA_Nations_League_B
Bosnia and Herzegovina ,3–2, Finland,2022–23_UEFA_Nations_League_B
Romania ,0–3, Montenegro,2022–23_UEFA_Nations_League_B
Bosnia and Herzegovina ,1–0, Montenegro,2022–23_UEFA_Nations_League_B
Finland ,1–1, Romania,2022–23_UEFA_Nations_League_B
Montenegro ,0–2, Finland,2022–23_UEFA_Nations_League_B
Romania ,4–1, Bosnia and Herzegovina,2022–23_UEFA_Nations_League_B
Serbia ,0–1, Norway,2022–23_UEFA_Nations_League_B
Slovenia ,0–2, Sweden,2022–23_UEFA_Nations_League_B
Serbia ,4–1, Slovenia,2022–23_UEFA_Nations_League_B
Sweden ,1–2, Norway,2022–23_UEFA_Nations_League_B
Norway ,0–0, Slovenia,2022–23_UEFA_Nations_League_B
Sweden ,0–1, Serbia,2022–23_UEFA_Nations_League_B
Norway ,3–2, Sweden,2022–23_UEFA_Nations_League_B
Slovenia ,2–2, Serbia,2022–23_UEFA_Nations_League_B
Slovenia ,2–1, Norway,2022–23_UEFA_Nations_League_B
Serbia ,4–1, Sweden,2022–23_UEFA_Nations_League_B
Norway ,0–2, Serbia,2022–23_UEFA_Nations_League_B
Sweden ,1–1, Slovenia,2022–23_UEFA_Nations_League_B
Portugal ,1–0, Azerbaijan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Serbia ,3–2, Republic of Ireland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Republic of Ireland ,0–1, Luxembourg,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Serbia ,2–2, Portugal,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Azerbaijan ,1–2, Serbia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Luxembourg ,1–3, Portugal,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Luxembourg ,2–1, Azerbaijan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Portugal ,2–1, Republic of Ireland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Republic of Ireland ,1–1, Azerbaijan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Serbia ,4–1, Luxembourg,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Azerbaijan ,0–3, Portugal,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Republic of Ireland ,1–1, Serbia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Azerbaijan ,0–3, Republic of Ireland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Luxembourg ,0–1, Serbia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Portugal ,5–0, Luxembourg,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Serbia ,3–1, Azerbaijan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Azerbaijan ,1–3, Luxembourg,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Republic of Ireland ,0–0, Portugal,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Luxembourg ,0–3, Republic of Ireland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Portugal ,1–2, Serbia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_A
Spain ,1–1, Greece,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Sweden ,1–0, Georgia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Georgia ,1–2, Spain,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Kosovo ,0–3, Sweden,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Greece ,1–1, Georgia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Spain ,3–1, Kosovo,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Georgia ,0–1, Kosovo,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Sweden ,2–1, Spain,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Kosovo ,1–1, Greece,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Spain ,4–0, Georgia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Greece ,2–1, Sweden,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Kosovo ,0–2, Spain,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Georgia ,0–2, Greece,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Sweden ,3–0, Kosovo,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Kosovo ,1–2, Georgia,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Sweden ,2–0, Greece,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Georgia ,2–0, Sweden,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Greece ,0–1, Spain,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Greece ,1–1, Kosovo,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Spain ,1–0, Sweden,2022_FIFA_World_Cup_qualification_–_UEFA_Group_B
Finland ,2–2, Bosnia and Herzegovina,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
France ,1–1, Ukraine,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Kazakhstan ,0–2, France,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Ukraine ,1–1, Finland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Bosnia and Herzegovina ,0–1, France,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Ukraine ,1–1, Kazakhstan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Kazakhstan ,2–2, Ukraine,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
France ,1–1, Bosnia and Herzegovina,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Finland ,1–0, Kazakhstan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Ukraine ,1–1, France,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Bosnia and Herzegovina ,2–2, Kazakhstan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
France ,2–0, Finland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Kazakhstan ,0–2, Bosnia and Herzegovina,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Finland ,1–2, Ukraine,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Kazakhstan ,0–2, Finland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Ukraine ,1–1, Bosnia and Herzegovina,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Bosnia and Herzegovina ,1–3, Finland,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
France ,8–0, Kazakhstan,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Bosnia and Herzegovina ,0–2, Ukraine,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
Finland ,0–2, France,2022_FIFA_World_Cup_qualification_–_UEFA_Group_D
